날짜,BPU,회원구분,CR,객단가,거래액,구매객수,트래픽
2026년 04월 1주차,e-영업3,회원,5.9,115364.0,12871349.0,112.0,1894.0
2026년 04월 2주차,e-영업3,회원,7.1,93894.0,11830585.0,126.0,1777.0
2026년 04월 3주차,e-영업3,회원,9.7,82733.0,15411978.0,186.0,1917.0
2026년 04월 4주차,e-영업3,회원,7.7,76467.0,10694435.0,140.0,1814.0
2026년 04월 5주차,e-영업3,회원,7.2,115633.0,16205182.0,140.0,1946.0
2026년 05월 1주차,e-영업3,회원,7.6,100432.0,14792225.0,147.0,1950.0
2026년 05월 2주차,e-영업3,회원,8.3,94010.0,16021914.0,170.0,2064.0
2026년 05월 3주차,e-영업3,회원,6.9,90212.0,12075525.0,134.0,1946.0
2026년 05월 4주차,e-영업3,회원,8.1,94549.0,16275959.0,172.0,2136.0
2026년 06월 1주차,e-영업3,회원,6.8,110200.0,14577942.0,132.0,1938.0
2026년 06월 2주차,e-영업3,회원,5.5,87503.0,8400266.0,96.0,1742.0
2026년 06월 3주차,e-영업3,회원,7.2,122542.0,16928314.0,138.0,1921.0
2026년 06월 4주차,e-영업3,회원,7.5,125215.0,16993403.0,136.0,1820.0
2026년 07월 1주차,e-영업3,회원,6.0,108744.0,11060862.0,102.0,1685.0
2026년 07월 2주차,e-영업3,회원,6.0,102420.0,10315136.0,101.0,1689.0
2026년 07월 3주차,e-영업3,회원,6.6,134804.0,14173690.0,105.0,1586.0
2026년 07월 4주차,e-영업3,회원,5.2,57412.0,4535523.0,79.0,1526.0
2025년 01월 1주차,e-영업4,기존,11.6,82832.0,11497073.0,139.0,1196.0
2025년 01월 2주차,e-영업4,기존,10.1,98518.0,13806618.0,140.0,1390.0
2025년 01월 3주차,e-영업4,기존,10.6,67652.0,8785121.0,130.0,1221.0
2025년 01월 4주차,e-영업4,기존,9.9,77080.0,7432750.0,96.0,976.0
2025년 01월 5주차,e-영업4,기존,12.3,70686.0,9502200.0,134.0,1091.0
2025년 02월 1주차,e-영업4,기존,10.6,80513.0,9604109.0,119.0,1127.0
2025년 02월 2주차,e-영업4,기존,12.4,74480.0,9831334.0,132.0,1067.0
2025년 02월 3주차,e-영업4,기존,11.7,80580.0,10889841.0,135.0,1151.0
2025년 02월 4주차,e-영업4,기존,11.5,78445.0,10690990.0,136.0,1187.0
2025년 03월 1주차,e-영업4,기존,12.6,79398.0,13225357.0,167.0,1322.0
2025년 03월 2주차,e-영업4,기존,10.8,71429.0,9489840.0,133.0,1234.0
2025년 03월 3주차,e-영업4,기존,12.7,75734.0,11857819.0,157.0,1231.0
2025년 03월 4주차,e-영업4,기존,11.7,74061.0,10421390.0,141.0,1205.0
2025년 04월 1주차,e-영업4,기존,11.8,71223.0,9655841.0,136.0,1145.0
2025년 04월 2주차,e-영업4,기존,11.6,71761.0,10466818.0,146.0,1254.0
2025년 04월 3주차,e-영업4,기존,12.2,64243.0,10297196.0,160.0,1313.0
2025년 04월 4주차,e-영업4,기존,11.2,67983.0,9857583.0,145.0,1299.0
2025년 05월 1주차,e-영업4,기존,10.9,65534.0,8650439.0,132.0,1213.0
2025년 05월 2주차,e-영업4,기존,12.0,75708.0,11529208.0,152.0,1270.0
2025년 05월 3주차,e-영업4,기존,11.0,86544.0,10558362.0,122.0,1107.0
2025년 05월 4주차,e-영업4,기존,11.1,64063.0,6937149.0,108.0,979.0
2025년 05월 5주차,e-영업4,기존,12.9,66240.0,6642974.0,100.0,779.0
2025년 06월 1주차,e-영업4,기존,14.6,90800.0,14489103.0,160.0,1090.0
2025년 06월 2주차,e-영업4,기존,11.5,79434.0,8249799.0,104.0,902.0
2025년 06월 3주차,e-영업4,기존,15.9,65128.0,10364579.0,159.0,1004.0
2025년 06월 4주차,e-영업4,기존,16.0,68223.0,10993693.0,161.0,1007.0
2025년 07월 1주차,e-영업4,기존,15.1,64102.0,10329553.0,161.0,1067.0
2025년 07월 2주차,e-영업4,기존,15.1,69163.0,12805045.0,185.0,1227.0
2025년 07월 3주차,e-영업4,기존,14.4,58716.0,8891288.0,151.0,1054.0
2025년 07월 4주차,e-영업4,기존,16.7,57017.0,10841465.0,190.0,1141.0
2025년 07월 5주차,e-영업4,기존,13.3,58438.0,7788995.0,133.0,1001.0
2025년 08월 1주차,e-영업4,기존,16.0,62772.0,11334804.0,181.0,1129.0
2025년 08월 2주차,e-영업4,기존,13.7,60851.0,8553859.0,141.0,1027.0
2025년 08월 3주차,e-영업4,기존,12.6,60726.0,7226338.0,119.0,947.0
2025년 08월 4주차,e-영업4,기존,14.3,57551.0,7687191.0,134.0,933.0
2025년 09월 1주차,e-영업4,기존,16.5,64696.0,11192477.0,173.0,1048.0
2025년 09월 2주차,e-영업4,기존,13.1,79541.0,10476687.0,132.0,1006.0
2025년 09월 3주차,e-영업4,기존,13.4,75260.0,11149288.0,148.0,1104.0
2025년 09월 4주차,e-영업4,기존,12.6,74743.0,10891186.0,146.0,1159.0
2025년 10월 1주차,e-영업4,기존,9.3,69360.0,6282027.0,91.0,979.0
2025년 10월 2주차,e-영업4,기존,11.8,81547.0,12232009.0,150.0,1267.0
2025년 10월 3주차,e-영업4,기존,11.5,78578.0,11831529.0,151.0,1310.0
2025년 10월 4주차,e-영업4,기존,12.0,81836.0,14157620.0,173.0,1437.0
2025년 10월 5주차,e-영업4,기존,12.9,79742.0,15162297.0,190.0,1473.0
2025년 11월 1주차,e-영업4,기존,8.4,73675.0,7935858.0,108.0,1285.0
2025년 11월 2주차,e-영업4,기존,11.5,89825.0,12703847.0,141.0,1226.0
2025년 11월 3주차,e-영업4,기존,9.9,96594.0,10915106.0,113.0,1142.0
2025년 11월 4주차,e-영업4,기존,9.9,72419.0,7966143.0,110.0,1106.0
2025년 12월 1주차,e-영업4,기존,9.8,91639.0,9203219.0,100.0,1022.0
2025년 12월 2주차,e-영업4,기존,9.3,89870.0,7780199.0,87.0,934.0
2025년 12월 3주차,e-영업4,기존,8.5,74297.0,5200791.0,70.0,825.0
2025년 12월 4주차,e-영업4,기존,10.7,81114.0,7613125.0,94.0,874.0
2026년 01월 1주차,e-영업4,기존,9.8,66462.0,6000605.0,90.0,918.0
2026년 01월 2주차,e-영업4,기존,9.9,85817.0,8532622.0,99.0,1008.0
2026년 01월 3주차,e-영업4,기존,11.9,78331.0,9556361.0,122.0,1023.0
2026년 01월 4주차,e-영업4,기존,10.0,87854.0,8471662.0,96.0,968.0
2026년 01월 5주차,e-영업4,기존,10.7,78918.0,7576174.0,96.0,901.0
2026년 02월 1주차,e-영업4,기존,12.0,84104.0,10452882.0,124.0,1039.0
2026년 02월 2주차,e-영업4,기존,11.3,69154.0,6707926.0,97.0,858.0
2026년 02월 3주차,e-영업4,기존,12.0,78040.0,10056040.0,129.0,1075.0
2026년 02월 4주차,e-영업4,기존,11.1,91311.0,11192108.0,123.0,1101.0
2026년 03월 1주차,e-영업4,기존,12.3,82558.0,11168921.0,135.0,1103.0
2026년 03월 2주차,e-영업4,기존,11.4,74770.0,9506458.0,127.0,1119.0
2026년 03월 3주차,e-영업4,기존,13.5,83483.0,13488421.0,162.0,1199.0
2026년 03월 4주차,e-영업4,기존,12.8,74906.0,11267956.0,150.0,1176.0
2026년 04월 1주차,e-영업4,기존,11.6,76952.0,10773213.0,140.0,1203.0
2026년 04월 2주차,e-영업4,기존,11.7,71066.0,9492374.0,134.0,1138.0
2026년 04월 3주차,e-영업4,기존,13.9,74138.0,12709360.0,171.0,1234.0
2026년 04월 4주차,e-영업4,기존,12.4,81703.0,12197049.0,149.0,1201.0
2026년 04월 5주차,e-영업4,기존,13.3,64923.0,10332109.0,159.0,1199.0
2026년 05월 1주차,e-영업4,기존,11.6,76390.0,11338419.0,148.0,1284.0
2026년 05월 2주차,e-영업4,기존,12.5,75955.0,11447554.0,151.0,1205.0
2026년 05월 3주차,e-영업4,기존,10.9,152889.0,20224973.0,132.0,1210.0
2026년 05월 4주차,e-영업4,기존,11.7,64412.0,9118849.0,142.0,1208.0
2026년 06월 1주차,e-영업4,기존,11.4,65808.0,8526822.0,130.0,1135.0
2026년 06월 2주차,e-영업4,기존,11.2,66040.0,7754996.0,117.0,1045.0
2026년 06월 3주차,e-영업4,기존,11.0,70364.0,7900860.0,112.0,1017.0
2026년 06월 4주차,e-영업4,기존,10.2,81414.0,7652919.0,94.0,921.0
